中文,英文
企鹅,penguin
照顾；护理,care
照顾；处理,take care of
三明治,sandwich
蛇,snake
吓人的；恐怖的,scary
脖子,neck
猜测；估计,guess
鲨鱼,shark
鲸,whale
巨大的；极多的,huge
危险的；有危害的,dangerous
救；储蓄；保存,save
幸运；运气,luck
泰国的；泰国人的,Thai
象鼻,trunk
捡；摘,pick
拿起；举起,pick up
拿；提,carry
爱嬉戏的；爱玩的,playful
游泳者,swimmer
互相,one another
照顾,look after
文化；文明,culture
然而；不过,however
危险,danger
处于危险之中,in danger
森林,forest
砍伐；减少,cut down
太多,too many
杀死；弄死,kill
由......制成的,made of
象牙,ivory
友好的,friendly
相当；完全,quite
相当；非常,quite a
一点也不；完全不,not ... at all
（动物浓厚的）软毛,fur
瞎的；失明的,blind
听力；听觉,hearing
规则；规章,rule
秩序；命令,order
遵循；跟随,follow
迟到,late for
到达,arrive
准时,on time
走廊,hallway
校服；制服,uniform
乱扔,litter
有礼貌的,polite
对待；招待；治疗,treat
尊敬,respect
如果,if
夹克衫；短上衣,jacket
不得不,have to
每件事；一切,everything
借给；借出,lend
糖果,sweet
点心；小吃,snack
当然,of course
可移动的,mobile
手机,mobile phone
关掉（水、电或煤气）,turn off
队,queue
插队,jump the queue
喂养；饲养,feed
离开；留下,leave
缺席的；不在的,absent
缺席；不在,absent from
嘘（用以让别人安静下来）,shh
轻声地；安静地,quietly
安全带；腰带；皮带,belt
声音；噪声,noise
不快乐的,unhappy
博士；医生,Dr
整理床铺；铺床,make sb's/the bed
也（用于否定词组后）,either
训练；练习,practise
悬挂,hang
闲逛；常去某处,hang out
工作日（星期一至星期五的任何一天）,weekday
糟糕的；讨厌的,awful
变成；成为,become
较好的；较好地,better
人,person
集中（注意力、精力等）；聚焦,focus
集中（注意力、精力等）于,focus on
创建；建造,build
精神；情绪,spirit
思考；考虑,think about
放松；休息,relax
建议；意见,advice
理解；领会,understand
不整洁的,untidy
健康的；健壮的,fit
棒球（运动）,baseball
（手指分开的）手套,glove
（运动用的）垫子,mat
绳子；粗绳,rope
跳绳用的绳子；跳绳（运动）,jump rope
（网球、羽毛球等的）球拍,racket
几乎不；几乎没有,hardly
在任何时候；从来；曾经,ever
几乎从不,hardly ever
一次；曾经；一旦,once
两次；两倍,twice
我的（所有物）,mine
她的（所有物）,hers
也许；大概,maybe
使用得多的,well-used
练习；实践,practice
完美的；极好的,perfect
很少；不常,seldom
羽毛球运动,badminton
双打（doubles）；两倍；成双的；两倍的,double
在某个时候,sometime
排球（运动）,volleyball
他们的，她们的，它们的（所有物）,theirs
慢跑,jog
（表示否定的）很少的；几乎没有的,few
少数；几个,a few
原谅；宽恕,excuse
劳驾；请原谅,excuse me
在那边,over there
只是；正好,just
T恤衫,T-shirt
应在（某处）,belong
属于（某人）,belong to
工作的,working
工作日,working day
有许多；充满,full of
精力；能量,energy
组；群,group
滑板,skateboard
鼓励；激励,encourage
技巧；戏法,trick
成功；达到目标,succeed
滑板运动,skateboarding
目标；目的,goal
仰卧起坐,sit-up
锻炼,work out
应用程序,app
进步；进展,progress
比赛；竞赛,match
队；组,team
我们的（所有物）,ours
输掉；丢失,lose
青少年（13岁至19岁之间）,teenager
西瓜,watermelon
卷心菜,cabbage
羊肉,mutton
曲奇饼,cookie
洋葱；葱头,onion
饺子,dumpling
咖啡,coffee
豆,bean
炸薯条,chip
炸鱼薯条,fish and chips
沙拉；色拉,salad
粥；麦片粥,porridge
（男）服务员,waiter
......怎么样？,What about ...?
有......味道；尝；味道,taste
某事物；任何事物,anything
一道菜；盘子,dish
选择,choice
一餐所吃的食物；一餐,meal
猪肉,pork
草莓,strawberry
菜单,menu
顾客,customer
提供；服务,serve
女服务员,waitress
先生,sir
搭配；相配,go with
反而；代替,instead
梨,pear
太多,too much
糖,sugar
改进；改善,improve
习惯,habit
快餐,fast food
盐,salt
脂肪；肥胖的,fat
增加；穿上,put on
体重；重量,weight
汉堡包,hamburger
造成；导致,cause
心脏；中心,heart
均衡的；平衡的,balanced
太......以至于不能,too ... to
困倦的；想睡的,sleepy
毕竟；终归,after all
离开；在别处,away
不好的；贫穷的；可怜的,poor
后果；结果,result
文章；冠词,article
共同的；普遍的,common
在......中；......之一,among
柔和的；柔软的,soft
软饮料（不含酒精）,soft drink
足够的；充足的；足够地；充分地；足够；充分,enough
渴的,thirsty
现在；立刻,right now
骑；旅程,ride
某个时刻；片刻；瞬间,moment
现在；此刻,at the moment
做；从事,work on
龙,dragon
节日,festival
拿着；抓住,hold
别挂断电话；等一等,hold on
嗓音；声音,voice
比赛；竞赛,race
亲爱的；宝贝,darling
某人；有人,somebody
能；可以,could
消息；信息,message
捎个口信,take a message
留个口信,leave a message
回电话,call back
踢；踹,kick
哇；呀,wow
在线的,online
羽毛球,shuttlecock
名胜；风景；视力,sight
考试,exam
希望,hope
向前,forward
盼望,look forward to
滑冰,skate
发生,happen
地区；地带；区域,zone
时区,time zone
世界各地,around the world
冲；奔,rush
匆忙,in a hurry
发光；照耀；光亮,shine
明亮地,brightly
色彩鲜艳的,colourful
缓慢地,slowly
这样的；那样的；这样（那样）的人或事物,such
例如,such as
绘画作品；绘画；油画,painting
市场,market
边；侧,side
并排；并肩地,side by side
地铁,subway
鲜艳的；明亮的；聪明的,bright
把......送至；落下；滴；下降,drop
（开车）把某人送到某处,drop off
乘客,passenger
中心的；中央的,central
解释；说明,explain
参加,take part in
旅行；旅游,tour
阳光,sunshine
开车；驾驶,drive
（上下班时的）交通高峰期,rush hour
不论是雨或是晴；不管发生什么事,rain or shine
影响,affect
干的；干旱的,dry
闪电,lightning
有暴风雨（或暴风雪）的,stormy
北部；北；北方,north
西部；西；西方,west
南部；南；南方,south
东部；东；东方,east
待在家里；没有外出,stay in
运气好的；带来好运的,lucky
你真幸运,lucky you
沐日光浴；晒太阳,sunbathe
将来；有朝一日,some day
温度,temperature
雪人,snowman
大量地；沉重地,heavily
下雪的；雪白的,snowy
沙滩排球,beach volleyball
高,high
极冷的；冰冻的,freezing
旅行者；观光客,tourist
（在现代英语里仅用于地名）山；山峰,mount
云；云彩,cloud
感觉像,feel like
魔法的；神奇的,magical
岩石,rock
休息；剩余部分,rest
场地；地区,area
休息区,rest area
取得进展,make progress
虽然；尽管,although
还；仍然,still
情绪高涨；兴高采烈,in high spirits
经历；经验；经历,experience
穿过；凭借,through
高兴的,glad
山顶；顶点,peak
灰色的,grey
因为,because of
雾,fog
地面,ground
湿的,wet
令人疲倦的；累人的,tiring
似乎；好像,seem
阳光；日光,sunlight
在顶部；在顶端,at the top
想法,thought
山；高山,mountain
开始；起初,at the start
末尾；结束,end
最后；在末尾,at the end
暴风雨；暴风雪,storm
倾倒；倒出,pour
风,wind
喊叫；呼唤,shout
追逐,run after
碰头；相聚,meet up
博物馆,museum
展览,exhibition
方向,direction
旅行,trip
废水,wastewater
工厂,plant
到......里面；进入,into
移开；拿走,remove
片；块,piece
废弃物；浪费,waste
机器,machine
微生物；细菌,germ
步骤；脚步,step
过去常常（做）,used to
认识到；实现,realize
在......里面；在里面,inside
去旅行,go on a trip
过程,process
戏院；剧场；电影院,theatre
工厂,factory
糟糕的,terrible
演员,actor
枪,gun
试穿,try on
沿着；顺着,along
道路,road
创造,create
记录；记录,record
技能,skill
写下；记下,write down
探索,explore
帐篷,tent
黄瓜,cucumber
从......到......,from ... to ...
直接；立即；笔直地；直的,straight
装满；盛满,fill
篮子；筐,basket
教,teach
分支；树枝,branch
叶；叶子,leaf
终于,finally
考虑；想起,think of
谷物；谷粒,grain
新鲜的,fresh
肯定地,certainly
日记；日记本,diary
（日记的）一则；入口,entry
赞成；同意,agree
赞成；同意,agree with
在......上,upon
从前；很久以前,once upon a time
咬；咬伤,bite
咬穿,bite through
网；网状物,net
猎人；搜寻者,hunter
承诺；保证；承诺；诺言,promise
很久以前,long ago
战争,war
邻居,neighbour
明智的；高明的,wise
皇帝,emperor
撒谎；谎言,lie
假装；伪装,pretend
官员；高级职员,official
愚蠢的；傻的,silly
决定,decide
赞美；表扬,praise
害怕的；担心的,afraid
突然地；出乎意料地,suddenly
起初；最初,at first
真相；事实,truth
说实话,tell the truth
赚钱,make money
符合事实的；真正的,true
不喜欢；厌恶；讨厌,hate
逃脱；离开,get out
君主；国王,king
美术家；艺术家,artist
快速地；很快,quickly
微笑；微笑；笑容,smile
到处；遍及,all over
丑陋的；难看的,ugly
小鸭子,duckling
真的；真正的,real
嘲笑,laugh at
走开,go away
寻找；搜寻,search
寻找,search for
母鸡,hen
有希望地,hopefully
（猫愉快时）发出呜呜声,purr
下（蛋）；放置；搁,lay
天鹅,swan
羽毛,feather
出乎某人的意料,to sb's surprise
大小；尺寸,size
相信；认为,believe
只有,only if
渔夫,fisherman
钓鱼；捕鱼,fishing
出现；盛开,come out
妖怪；鬼,genie
死亡；消失,die
许下诺言,make a promise
某人；有人,someone
使处于某种状况；使开始,set
释放,set ... free
富有的；富含......的,rich
强大的；有影响力的,powerful
任何人；某个人,anyone
而不是；代替,instead of
成功做成某事,succeed in doing sth
他自己；他本人,himself
最后；终究,in the end
